                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53085,                 1.0115,                 2.3162,                0.97925,                0.72465,                0.85925,                0.85131,                 0.7583,                0.72024,                0.85586,                0.84254,                0.71832,                0.46471,                 0.4641,                 1.6849,                 0.9815,             0.00016438,             0.00016438,             0.00016438
                      2,                0.60229,                0.85746,                 1.2562,                  1.021,                0.82342,                0.85678,                0.94689,                0.82275,                0.82943,                0.86284,                 0.9537,                0.81207,                0.58636,                0.49538,                  1.217,                 1.1754,              0.0003245,              0.0003245,              0.0003245
                      3,                0.62617,                0.88468,                 1.0212,                 1.0434,                0.82115,                0.89086,                0.89917,                0.77277,                0.81908,                0.88701,                0.89058,                0.75721,                0.66922,                0.53727,                0.93304,                  1.306,             0.00047801,             0.00047801,             0.00047801
                      4,                 0.6429,                0.87472,                0.93282,                 1.0443,                0.87587,                0.84839,                0.92884,                0.80117,                0.87587,                0.84839,                0.92739,                0.76736,                 0.5788,                0.54143,                0.79352,                 1.1258,              0.0004703,              0.0004703,              0.0004703
                      5,                0.61983,                0.84188,                0.83416,                 1.0231,                0.89447,                 0.9087,                0.95801,                0.85688,                0.89447,                 0.9087,                0.95801,                0.82564,                0.52841,                0.47432,                0.68924,                 1.0672,              0.0004703,              0.0004703,              0.0004703
                      6,                0.58766,                0.77339,                0.80059,                 1.0084,                0.80285,                0.94111,                0.96837,                0.87183,                0.79398,                0.93596,                0.95697,                0.85669,                0.52601,                 0.4314,                0.66909,                 1.0413,              0.0004604,              0.0004604,              0.0004604
                      7,                0.58229,                0.74849,                 0.7304,                 1.0157,                0.87503,                0.96833,                0.97272,                0.85184,                0.87503,                0.96833,                0.97272,                  0.867,                0.54433,                0.39953,                0.64985,                  1.033,              0.0004505,              0.0004505,              0.0004505
                      8,                0.55488,                0.73673,                0.68377,                 0.9942,                0.90741,                0.92826,                0.96992,                0.89298,                0.90741,                0.92826,                0.96992,                 0.8682,                0.47141,                0.42584,                0.58539,                 1.0042,              0.0004406,              0.0004406,              0.0004406
                      9,                0.54265,                 0.7375,                0.67241,                0.98485,                0.95333,                0.97532,                0.98185,                0.89655,                0.95333,                0.97532,                0.98185,                0.87285,                0.47064,                0.39439,                0.50401,                0.99948,              0.0004307,              0.0004307,              0.0004307
                     10,                0.55287,                0.72128,                 0.6486,                 0.9988,                0.93475,                0.96823,                0.97797,                0.90968,                0.93475,                0.96823,                0.97797,                0.87488,                0.45582,                0.40851,                 0.4987,                0.97937,              0.0004208,              0.0004208,              0.0004208
                     11,                0.53198,                0.71205,                0.60783,                0.98323,                 0.9146,                0.96909,                0.97741,                0.91092,                 0.9146,                0.96909,                0.97565,                0.87161,                0.43953,                0.42476,                0.47416,                0.97008,              0.0004109,              0.0004109,              0.0004109
                     12,                0.51538,                  0.723,                0.58365,                0.96602,                0.94226,                0.94514,                0.98061,                0.91332,                0.94226,                0.94514,                0.98061,                0.88862,                0.41979,                0.41608,                0.47829,                0.95215,               0.000401,               0.000401,               0.000401
                     13,                0.50691,                0.66904,                 0.5894,                 0.9665,                0.91314,                0.93904,                0.97307,                0.90632,                0.91314,                0.93904,                0.97193,                0.87574,                0.41993,                0.46846,                0.47348,                0.95899,              0.0003911,              0.0003911,              0.0003911
