                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5512,                 1.0239,                 2.3743,                0.97946,                0.69123,                0.81872,                0.86376,                0.80017,                0.69123,                0.81872,                0.86365,                0.76335,                0.41328,                0.47769,                 1.4718,                0.90663,             0.00016438,             0.00016438,             0.00016438
                      2,                0.60276,                 0.8764,                 1.3566,                0.99311,                0.84539,                0.85554,                0.93127,                0.82109,                0.85046,                   0.86,                0.93249,                0.81564,                0.57379,                0.50329,                 1.0051,                 1.0393,              0.0003245,              0.0003245,              0.0003245
                      3,                0.62251,                0.84901,                 1.1269,                 1.0258,                0.82952,                0.88838,                 0.9026,                0.78733,                0.82499,                 0.8887,                 0.8981,                0.76975,                0.60694,                0.48498,                 1.0234,                 1.1333,             0.00047801,             0.00047801,             0.00047801
                      4,                0.62243,                0.85604,                0.96854,                 1.0174,                0.81449,                0.92571,                0.93532,                0.81392,                0.81449,                0.92571,                0.93595,                0.80968,                0.57442,                0.44683,                0.82182,                 1.0828,              0.0004703,              0.0004703,              0.0004703
                      5,                0.63109,                0.84514,                0.89321,                 1.0154,                0.82152,                0.89522,                0.95249,                0.86792,                0.82152,                0.89522,                0.95256,                0.83267,                 0.5187,                0.46101,                0.77895,                 1.0082,              0.0004703,              0.0004703,              0.0004703
                      6,                0.58598,                0.75331,                0.83795,                0.99448,                0.87843,                0.91944,                0.96183,                0.86282,                0.87843,                0.91944,                0.96183,                0.84459,                0.52909,                0.44067,                0.68372,                 1.0227,              0.0004604,              0.0004604,              0.0004604
                      7,                0.58146,                0.73041,                0.76591,                 1.0016,                0.93894,                0.95057,                 0.9735,                0.89239,                0.94306,                0.95376,                0.97823,                 0.8859,                0.49775,                0.39809,                0.55963,                0.98748,              0.0004505,              0.0004505,              0.0004505
                      8,                0.55925,                  0.753,                0.72514,                0.98283,                0.91124,                0.93306,                0.97614,                0.89017,                0.91143,                 0.9393,                0.97885,                0.87662,                0.49626,                 0.4683,                0.56351,                 1.0034,              0.0004406,              0.0004406,              0.0004406
                      9,                0.54522,                0.71847,                0.70452,                0.97425,                0.90792,                0.95379,                0.97716,                0.88493,                0.90792,                0.95379,                0.97716,                0.87186,                0.49481,                0.40164,                0.54006,                0.99642,              0.0004307,              0.0004307,              0.0004307
                     10,                0.55519,                0.71691,                0.67767,                0.98628,                0.92396,                 0.9498,                0.98064,                0.90979,                0.92396,                 0.9498,                0.98064,                0.89259,                0.45468,                0.39166,                0.48325,                0.94685,              0.0004208,              0.0004208,              0.0004208
