                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60975,                 1.2041,                 3.2391,                0.98582,                0.56318,                0.81497,                0.77899,                0.71091,                0.56318,                0.81497,                0.77699,                0.66349,                0.42752,                0.55236,                 2.1144,                0.89321,             0.00016438,             0.00016438,             0.00016438
                      2,                 0.6034,                0.90634,                 1.5689,                0.95709,                0.75162,                0.78671,                  0.854,                0.74745,                0.74683,                0.77996,                0.84511,                0.72652,                0.54786,                0.58434,                 1.7535,                0.96579,              0.0003245,              0.0003245,              0.0003245
                      3,                0.63774,                0.85403,                 1.2735,                0.98163,                0.80236,                0.82491,                0.89071,                0.75521,                0.80236,                0.82491,                0.88935,                0.75641,                 0.6073,                0.47532,                 1.2477,                0.99516,             0.00047801,             0.00047801,             0.00047801
                      4,                0.64613,                0.87692,                 1.1159,                0.97804,                0.84163,                0.88318,                0.92827,                0.80674,                0.84522,                0.87883,                0.92922,                 0.8087,                0.52624,                0.46178,                0.93748,                0.94774,              0.0004703,              0.0004703,              0.0004703
                      5,                0.63169,                0.85212,                 1.0358,                0.98317,                0.80119,                0.91506,                0.94744,                0.84347,                0.80119,                0.91506,                0.94725,                0.81596,                0.52049,                0.48716,                0.83876,                 0.9481,              0.0004703,              0.0004703,              0.0004703
                      6,                0.60477,                0.77751,                0.93027,                0.96322,                0.84658,                0.92089,                0.93921,                0.84493,                0.84658,                0.92089,                0.93988,                0.83134,                0.50782,                0.42888,                0.70402,                0.94228,              0.0004604,              0.0004604,              0.0004604
                      7,                0.59184,                0.75147,                0.87893,                0.96067,                 0.9076,                0.88825,                0.95277,                0.85057,                0.89213,                0.87251,                 0.9315,                0.83712,                0.51124,                 0.5982,                0.62933,                0.92037,              0.0004505,              0.0004505,              0.0004505
                      8,                0.58476,                0.78422,                 0.8235,                0.96431,                0.90607,                0.95342,                 0.9685,                 0.8792,                0.90607,                0.95342,                 0.9677,                0.86867,                0.50498,                0.42311,                0.57877,                0.92428,              0.0004406,              0.0004406,              0.0004406
                      9,                 0.5621,                0.74493,                0.80909,                0.94402,                0.89176,                0.93414,                 0.9683,                0.87108,                0.89176,                0.93414,                 0.9683,                0.85491,                0.48144,                0.45066,                0.59701,                 0.9343,              0.0004307,              0.0004307,              0.0004307
                     10,                0.58278,                0.74639,                0.77462,                0.96029,                 0.9079,                0.95508,                 0.9777,                0.89852,                0.89562,                0.94122,                0.96419,                0.87328,                0.46355,                0.41646,                0.53337,                0.91362,              0.0004208,              0.0004208,              0.0004208
                     11,                0.55677,                0.73392,                0.72181,                0.95147,                 0.9269,                0.93249,                0.97315,                0.90371,                0.91944,                0.92768,                0.97224,                0.87568,                 0.4277,                0.40663,                0.56095,                0.90099,              0.0004109,              0.0004109,              0.0004109
                     12,                 0.5352,                0.73202,                0.70714,                0.93618,                0.89697,                0.96819,                0.98014,                0.90437,                0.89697,                0.96819,                0.98014,                0.88873,                0.43437,                0.41443,                 0.4962,                0.90162,               0.000401,               0.000401,               0.000401
                     13,                0.52875,                0.69858,                0.67427,                0.93849,                0.94155,                0.93996,                0.97326,                 0.8999,                0.94155,                0.93996,                0.97223,                0.88181,                0.42817,                0.38923,                 0.5017,                0.90092,              0.0003911,              0.0003911,              0.0003911
                     14,                0.52753,                 0.6786,                0.67596,                0.93606,                0.92511,                 0.9674,                0.97831,                0.92154,                0.92511,                 0.9674,                0.97831,                0.88522,                  0.417,                0.39835,                 0.4574,                0.90071,              0.0003812,              0.0003812,              0.0003812
                     15,                0.52885,                0.72144,                0.63915,                0.94069,                0.92273,                0.96377,                0.98279,                0.90996,                0.91451,                0.96467,                0.97703,                0.87624,                0.40908,                 0.3877,                0.46557,                 0.8964,              0.0003713,              0.0003713,              0.0003713
                     16,                0.50239,                0.68303,                0.62872,                0.93135,                0.92438,                0.96171,                0.97585,                0.91552,                0.92438,                0.96171,                0.97585,                0.87933,                0.40446,                0.38592,                0.45715,                0.88755,              0.0003614,              0.0003614,              0.0003614
                     17,                0.50588,                0.68506,                0.60327,                0.92175,                0.94913,                0.97179,                0.98058,                0.92973,                0.94913,                0.97179,                0.98058,                0.88587,                  0.391,                0.38757,                0.43383,                0.88313,              0.0003515,              0.0003515,              0.0003515
                     18,                0.50771,                0.72202,                0.62168,                0.93117,                0.93426,                0.95499,                0.97459,                0.91868,                0.92564,                0.95049,                0.97135,                0.88487,                0.38079,                  0.367,                0.45231,                0.87633,              0.0003416,              0.0003416,              0.0003416
                     19,                0.49982,                0.65087,                0.58732,                0.92988,                0.92028,                0.96689,                0.97721,                0.92403,                0.91766,                0.95461,                 0.9743,                0.88163,                0.38244,                0.38348,                0.43097,                 0.8664,              0.0003317,              0.0003317,              0.0003317
                     20,                0.48174,                0.64817,                0.55914,                0.91432,                0.93831,                0.92897,                0.98024,                0.92843,                0.93831,                0.92897,                0.98024,                0.88068,                0.36055,                0.40924,                0.42606,                0.86602,              0.0003218,              0.0003218,              0.0003218
                     21,                0.48706,                0.65886,                 0.5744,                0.91983,                0.95747,                0.95451,                0.98355,                0.92551,                0.95747,                0.95451,                0.98355,                0.88326,                0.37702,                0.39099,                0.41816,                0.87277,              0.0003119,              0.0003119,              0.0003119
                     22,                0.49004,                0.66769,                0.55848,                0.90983,                0.94429,                 0.9674,                0.98599,                0.94165,                0.94429,                 0.9674,                0.98599,                0.89276,                0.35289,                0.38161,                0.39091,                0.85534,               0.000302,               0.000302,               0.000302
                     23,                0.48612,                0.67212,                0.57119,                0.92328,                0.95416,                0.97891,                0.98209,                0.93055,                0.95416,                0.97891,                0.98209,                0.89108,                0.35676,                0.36988,                0.38454,                0.86588,              0.0002921,              0.0002921,              0.0002921
