                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52214,                0.94107,                 2.2034,                0.98044,                0.77974,                0.82064,                0.91122,                0.81178,                 0.7777,                0.81583,                0.90982,                0.77733,                0.52534,                0.48958,                 1.6125,                 1.0432,             0.00016438,             0.00016438,             0.00016438
                      2,                0.60325,                0.85647,                 1.2322,                 1.0303,                0.78676,                0.85805,                0.92267,                0.79691,                0.78081,                0.85331,                0.91084,                0.78321,                0.56314,                0.55749,                 1.5028,                 1.0853,             0.00032286,             0.00032286,             0.00032286
                      3,                0.62983,                0.86727,                 1.0273,                 1.0511,                0.77949,                0.86382,                0.92218,                 0.7791,                0.77463,                0.84633,                0.89868,                0.74522,                0.65732,                0.72161,                 1.5927,                 1.2632,             0.00047308,             0.00047308,             0.00047308
                      4,                0.64388,                0.88609,                0.95251,                 1.0475,                0.84073,                0.90393,                0.95567,                0.81584,                0.84073,                0.90393,                0.95355,                0.79406,                0.57805,                0.55385,                0.83409,                  1.086,             0.00046288,             0.00046288,             0.00046288
                      5,                0.62319,                0.84191,                0.81703,                 1.0332,                0.88944,                0.87106,                0.95279,                0.82827,                 0.8843,                 0.8568,                0.94804,                0.80705,                0.58788,                0.51641,                0.77192,                   1.12,             0.00046288,             0.00046288,             0.00046288
                      6,                0.57869,                0.77369,                0.75359,                 1.0013,                0.91308,                0.92179,                0.96903,                0.85204,                0.91308,                0.92179,                0.96722,                0.83336,                0.53234,                0.47009,                0.70027,                 1.0419,              0.0004505,              0.0004505,              0.0004505
                      7,                0.56976,                0.73055,                0.68531,                 1.0077,                0.92396,                0.95192,                0.97452,                0.87202,                0.92396,                0.95192,                0.97452,                0.85268,                0.49874,                0.43177,                0.60723,                 1.0373,             0.00043812,             0.00043812,             0.00043812
                      8,                0.55264,                0.75298,                0.64676,                0.99112,                0.89602,                0.92717,                0.97054,                0.89222,                0.89602,                0.92717,                0.97054,                0.85336,                0.46335,                  0.453,                0.56226,                0.98769,             0.00042575,             0.00042575,             0.00042575
                      9,                0.53707,                 0.7344,                0.65801,                0.97913,                0.92645,                0.93418,                 0.9671,                0.89272,                0.92241,                0.93618,                0.96754,                0.85117,                0.45213,                0.42758,                0.55502,                0.97826,             0.00041338,             0.00041338,             0.00041338
                     10,                0.54562,                0.70969,                0.62341,                0.99304,                0.92267,                0.97088,                0.97925,                0.90329,                0.91859,                0.96721,                0.97347,                0.87173,                0.45404,                0.41619,                0.47098,                0.96762,               0.000401,               0.000401,               0.000401
